"","domain","total_accesses","DomainOwnerName","domainType","domainClassification","notes"
"214","mobileappcommunicator.auth.microsoft.com",11,"Microsoft",2,1,""
"215","mobilemaps-pa-gz.googleapis.com",11,"Google",2,1,""
"216","mobilemaps.googleapis.com",11,"Google",2,1,""
"217","ms4.applovin.com",11,"AppLovin Corp.",1,1,""
"218","newjams-images.scdn.co",11,"Other",2,1,""
"219","ontology.health.apple.com",11,"Apple",2,1,""
"220","p140-caldav.icloud.com",11,"Apple",2,1,""
"221","p140-contacts.icloud.com",11,"Apple",2,1,""
"222","p43-imap.mail.me.com",11,"Other",2,1,""
"223","pdst.fm",11,"Other",2,1,""
"224","phoots.strava.com",11,"Strava Inc.",2,1,""
"225","pickasso.spotifycdn.com",11,"Spotify",2,1,""
"226","pim.microsoft.com",11,"Microsoft",2,1,""
"227","podtrac.com",11,"Other",2,1,""
"228","prd-env.neon-free.ch",11,"Other",2,1,""
"229","prod-mediate-events.applovin.com",11,"AppLovin Corp.",2,1,""
"230","reach-pa.googleapis.com",11,"Google",2,1,""
"231","scontent-zrh1-1.cdninstagram.com",11,"Meta",2,1,""
"232","sdk.out.usbla.net",11,"Other",2,1,""
"233","sequoia.cdn-apple.com",11,"Apple",2,1,""
"234","sfu.voip.signal.org",11,"Signal Technology Foundation",2,1,""
"235","skan.singular.net",11,"Other",2,1,""
"236","spclient.wg.spotify.com",11,"Spotify",2,1,""
"237","static-assets.neon-free.ch",11,"Other",2,1,""
"238","static.whatsapp.net",11,"Meta",2,1,""
"239","status.neon-free.ch",11,"Other",2,1,""
"240","stitcher2.acast.com",11,"Other",2,1,""
"241","storage.live.com",11,"Other",2,1,""
"242","storage.signal.org",11,"Signal Technology Foundation",2,1,""
"243","swissquote.info",11,"Other",2,1,""
"244","traffic.megaphone.fm",11,"Other",2,1,""
"245","ud-chat.signal.org",11,"Signal Technology Foundation",2,1,""
"246","updates2.signal.org",11,"Signal Technology Foundation",2,1,""
"247","video-akpcw.spotifycdn.com",11,"Spotify",2,1,""
"248","w.usabilla.com",11,"Other",2,1,""
"249","weather-edge.apple.com",11,"Apple",2,1,""
"250","yuh-api.swissquote.ch",11,"Other",2,1,""
"251","yuh.swissquote.ch",11,"Other",2,1,""
